RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6912,b5c89539dc012db92bffd5c0865fe549,C,*Accepted6779(100%),8304,1560,956 B,2018/5/18 0:40
6911,b5c89539dc012db92bffd5c0865fe549,C,Runtime Error,8252,140,462 B,2018/5/18 0:39
6910,e4a3ce2682d105f960b2017b69773a94,F,Accepted,13340,1800,2571 B,2018/5/18 0:34
6909,e4a3ce2682d105f960b2017b69773a94,F,Runtime Error,15524,304,2570 B,2018/5/18 0:22
6908,1652a22d7e4a20212febc2168fff4b61,G,Accepted,10524,3300,572 B,2018/5/18 0:22
6907,1652a22d7e4a20212febc2168fff4b61,G,Time Limit Exceed,10380,4000,712 B,2018/5/18 0:22
6906,e4a3ce2682d105f960b2017b69773a94,F,Runtime Error,14672,288,2565 B,2018/5/18 0:20
6905,e4a3ce2682d105f960b2017b69773a94,F,Runtime Error,14184,292,2447 B,2018/5/18 0:17
6904,1652a22d7e4a20212febc2168fff4b61,G,Time Limit Exceed,9004,4000,712 B,2018/5/18 0:16
6903,e4a3ce2682d105f960b2017b69773a94,F,Runtime Error,13296,240,2466 B,2018/5/18 0:15
6902,b5c89539dc012db92bffd5c0865fe549,C,Runtime Error,7392,140,464 B,2018/5/18 0:14
6901,b5c89539dc012db92bffd5c0865fe549,D,*Accepted6015(100%),8292,276,2264 B,2018/5/18 0:12
6900,1652a22d7e4a20212febc2168fff4b61,G,Time Limit Exceed,10360,4000,712 B,2018/5/18 0:10
6898,b5c89539dc012db92bffd5c0865fe549,B,Compile Error,0,0,1302 B,2018/5/18 0:02
6897,b5c89539dc012db92bffd5c0865fe549,C,Runtime Error,7280,140,464 B,2018/5/18 0:01
6895,b5c89539dc012db92bffd5c0865fe549,A,*Accepted5948(100%),8264,284,1413 B,2018/5/17 23:59
6894,f0cc1c29b15d68cca19d0c0f5d8814b7,A,*Accepted5948(100%),8236,280,1413 B,2018/5/17 23:59
6893,08eddabb828f7be3312e39b6b348fd7e,E,Accepted,8288,828,3788 B,2018/5/17 23:56
6892,d741a01876b3dd97120568deeec99ccf,G,Compile Error,0,0,998 B,2018/5/17 23:55
6891,08eddabb828f7be3312e39b6b348fd7e,E,Wrong Answer,8272,136,3677 B,2018/5/17 23:54
6890,a26e296e95dd5f0f0616b556669d4fb7,F,Accepted,28824,2664,7834 B,2018/5/17 23:54
6889,b7985f3352b1cc58833876858fe14d93,E,Wrong Answer,7672,276,2676 B,2018/5/17 23:53
6888,b5c89539dc012db92bffd5c0865fe549,B,*Accepted6769(100%),17344,1996,569 B,2018/5/17 23:50
6887,3c619469aaa4b269bdde8f007b88a3c6,G,Accepted,11512,3964,786 B,2018/5/17 23:50
6886,b5c89539dc012db92bffd5c0865fe549,B,Compile Error,0,0,1304 B,2018/5/17 23:50
6885,b7985f3352b1cc58833876858fe14d93,E,Wrong Answer,7664,264,2670 B,2018/5/17 23:50
6884,b5c89539dc012db92bffd5c0865fe549,C,Runtime Error,8268,148,464 B,2018/5/17 23:45
6883,35a6c45ca1db5674b2ebcb602ceded50,G,Time Limit Exceed,22220,4000,861 B,2018/5/17 23:42
6882,d741a01876b3dd97120568deeec99ccf,G,Time Limit Exceed,7376,4000,754 B,2018/5/17 23:42
6881,d741a01876b3dd97120568deeec99ccf,G,Compile Error,0,0,755 B,2018/5/17 23:41
6880,35a6c45ca1db5674b2ebcb602ceded50,G,Wrong Answer,8560,516,896 B,2018/5/17 23:38
